=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.09 15:50:23 =~=~=~=~=~=~=~=~=~=~=~=
Choisissez la methode :
1 - Chronoamperometrie
2 - Voltammetrie cyclique
Methode selectionnee : Voltammetrie cyclique
Entrez E1 (en Volts) :
Entrez E2 (en Volts) :
Entrez la vitesse de balayage (en V/s) :
Entrez le nombre de cycles :
Parametres enregistres.
E1 = -1.00 V, E2 = 1.00 V, Vitesse = 0.10 V/s
Cycles = 3.00
Entrez le facteur d'affichage (valeur par défaut = 1, valeur utilisée pour les mesures = 4) :
Facteur d'affichage choisi : 4
Entrez 'ok' pour commencer l'expérience.
Debut
Temps (s);tension (mV);courant (uA)
36.2854;630.50;67.01
36.3636;638.32;67.79
36.4418;646.14;71.30
36.5200;653.96;72.47
36.5982;661.78;71.69
36.6764;669.60;72.08
36.7546;677.42;71.30
36.8328;685.24;71.69
36.9110;693.06;68.18
36.9892;700.88;71.69
37.0674;708.70;71.69
37.1456;716.52;71.69
37.2238;724.35;72.08
37.3020;732.17;72.08
37.3802;739.99;71.69
37.4584;747.81;72.47
37.5366;755.63;72.08
37.6148;763.45;72.86
37.6930;771.27;72.86
37.7712;779.09;73.25
37.8494;786.91;70.91
37.9276;794.73;72.86
38.0058;802.55;73.25
38.0840;810.37;70.91
38.1622;818.19;73.25
38.2404;826.01;74.03
38.3186;833.83;72.86
38.3968;841.65;74.03
38.4750;849.47;74.42
38.5532;857.29;70.52
38.6314;865.11;74.03
38.7096;872.93;74.03
38.7878;880.75;74.42
38.8660;888.57;74.81
38.9442;896.39;74.81
39.0224;904.21;75.59
39.1007;912.03;72.08
39.1789;919.85;75.59
39.2571;927.67;75.59
39.3353;935.49;75.98
39.4135;943.31;75.98
39.4917;951.13;76.76
39.5699;958.95;76.76
39.6481;966.77;77.54
39.7263;974.59;77.54
39.8045;982.41;77.93
39.8827;990.23;78.71
39.9609;998.05;78.71
40.0391;1005.87;79.10
40.1173;1000.00;77.93
40.1955;992.18;74.81
40.2737;984.36;72.86
40.3519;976.54;70.52
40.4301;968.72;68.96
40.5083;960.90;67.40
40.5865;953.08;64.67
40.6647;945.26;64.67
40.7429;937.44;63.11
40.8211;929.62;61.94
40.8993;921.80;59.21
40.9775;913.98;60.38
41.0557;906.16;58.82
41.1339;898.34;58.04
41.2121;890.52;56.87
41.2903;882.70;56.09
41.3685;874.88;54.92
41.4467;867.06;50.63
41.5249;859.24;53.75
41.6031;851.42;52.97
41.6813;843.60;52.58
41.7595;835.78;51.80
41.8377;827.96;51.02
41.9159;820.14;50.63
41.9941;812.32;46.34
42.0723;804.50;49.07
42.1505;796.68;48.68
42.2287;788.86;47.90
42.3069;781.04;47.51
42.3851;773.22;47.51
42.4633;765.40;45.95
42.5415;757.58;45.95
42.6197;749.76;44.78
42.6979;741.94;43.61
42.7761;734.12;44.00
42.8543;726.30;43.22
42.9325;718.48;42.05
43.0107;710.66;38.15
43.0889;702.84;42.05
43.1671;695.02;38.15
43.2453;687.20;41.66
43.3235;679.38;40.88
43.4017;671.56;40.10
43.4799;663.74;40.49
43.5581;655.92;39.71
43.6363;648.10;39.32
43.7145;640.28;39.32
43.7927;632.46;38.15
43.8709;624.64;38.54
43.9491;616.82;37.76
44.0273;609.00;37.37
44.1055;601.18;37.37
44.1837;593.36;36.59
44.2619;585.54;36.59
44.3401;577.72;35.81
44.4183;569.90;35.81
44.4965;562.08;35.03
44.5747;554.26;31.91
44.6529;546.44;35.03
44.7311;538.62;34.64
44.8093;530.80;34.64
44.8875;522.98;33.47
44.9657;515.16;30.74
45.0439;507.34;33.08
45.1222;499.52;32.69
45.2004;491.70;28.79
45.2786;483.88;28.40
45.3568;476.06;28.40
45.4350;468.24;28.01
45.5132;460.42;27.62
45.5914;452.60;28.01
45.6696;444.78;30.35
45.7478;436.96;31.13
45.8260;429.13;26.45
45.9042;421.31;29.96
45.9824;413.49;29.57
46.0606;405.67;29.57
46.1388;397.85;29.18
46.2170;390.03;28.79
46.2952;382.21;28.40
46.3734;374.39;29.57
46.4516;366.57;28.40
46.5298;358.75;28.40
46.6080;350.93;28.79
